UDID,Headline_Alt,Destination_URL,Destination_name,Internal_Destination,Internal_Destination_UDID
E1017,Disagreements about registration,https://www.ipaustralia.gov.au/tools-and-research/forms/application-for-a-hearing,Application For A Hearing | IP Australia,No,Null
E1017,Disagreements about registration,https://www.ipaustralia.gov.au/manage-my-ip/someone-is-using-my-ip/how-to-challenge-someone-elses-ip/opposition-hearings,Opposition hearings | IP Australia,No,Null
E1017,Disagreements about registration,https://www.fedcourt.gov.au/law-and-practice/national-practice-areas/ip,Intellectual Property National Practice Area (NPA) - Home page,No,Null
E1017,Disagreements about registration,"https://www.fcfcoa.gov.au/gfl/intellectual-property#:~:text=The%20Federal%20Circuit%20and%20Family, Plant%20Breeder%27s%20Rights%20Act%201994",Intellectual property | Federal Circuit and Family Court of Australia,No,Null
E1017,Disagreements about registration,https://www.art.gov.au/,Homepage | Administrative Review Tribunal,No,Null
E1017,Disagreements about registration,https://peo.gov.au/understand-our-parliament/your-questions-on-notice/questions/what-is-judicial-review,What is judicial review? - Parliamentary Education Office,No,Null
CS1001,Notice of Objection,https://ipaustralia.au1.qualtrics.com/jfe/form/SV_6LKlgPWZqiheCiy,*IP First Response feedback form*,No,Null
CS1001,Notice of Objection,mailto:IPFirstResponse@IPAustralia.gov.au?subject=Feedback%20on%20IP%20First%20Response,*emailing us*,No,Null
CS1001,Notice of Objection,"https://www.abf.gov.au/help-and-support-subsite/Pages/notices/intellectual-property.aspx#:~:text=A%20Notice%20of%20Objection%20is,a%20valid%20Notice%20of%20Objection.",Australian Border Force's (ABF) Notice of Objection scheme,No,Null
CS1001,Notice of Objection,https://www.drive.com.au/news/toyota-annual-sales-record-2024-australia/,with a market share of 19.5% in Australia and a new sales record in 2024,No,Null
CS1001,Notice of Objection,https://www.interpol.int/en/Crimes/Illicit-goods/Illicit-goods-the-issues,"often substandard, causing health problems and injuries, even proving fatal.",No,Null
CS1001,Notice of Objection,mailto:ipfirstresponse@ipaustralia.gov.au,email,Yes,Null
C1019,IP STRATEGY ,https://ipfirstresponse.ipaustralia.gov.au/options/conduct-ip-audits-spot-gaps-reduce-risks-and-plan-next-steps,IP audit,Yes,Null
C1019,IP STRATEGY ,https://www.wipo.int/en/web/business/checklist,A step-by-step IP Strategy Checklist for SMEs,No,Null
C1019,IP STRATEGY ,https://www.ipaustralia.gov.au/understanding-ip,Understanding intellectual property (IP) | IP Australia,No,Null
C1019,IP STRATEGY ,https://www.ipaustralia.gov.au/tools-and-research/business-resources/choosing-the-right-ip-tool,Choosing the right IP tool | IP Australia,No,Null
C1019,IP STRATEGY ,https://www.ipaustralia.gov.au/understanding-ip/get-professional-assistance-with-your-ip,Get professional assistance with your IP | IP Australia,No,Null
101-2,Infringement 101,https://www.ipaustralia.gov.au/design-rights/how-to-apply-for-a-design-right,How to apply for a design right,No,Null
101-2,Infringement 101,Emmett J,46,No,Null
D1039,Apply for a trade mark,https://www.ipaustralia.gov.au/trade-marks,step-by-step guide,No,Null
D1039,Apply for a trade mark,https://www.ttipattorney.gov.au/for-clients/how-to-engage-an-attorney/find-an-ip-attorney-or-firm?_gl=1*wp2lum*_ga*MTUwOTM4MDc5LjE3MzM3ODMxNTI.*_ga_GMT4KC15KS*MTczNjgxNTEyNS4yNS4xLjE3MzY4MTY5MDEuMC4wLjA.#als_iptags=Trade%20marks&als_e=0,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,No,Null
D1039,Apply for a trade mark,https://www.ipaustralia.gov.au/trade-marks/search-existing-trade-marks/tm-checker,TM Checker,No,Null
D1039,Apply for a trade mark,https://www.ipaustralia.gov.au/trade-marks/how-to-apply-for-a-trade-mark/pre-application-service-tm-headstart,TM Headstart,No,Null
D1039,Apply for a trade mark,https://tmgns.search.ipaustralia.gov.au/,picklist,No,Null
D1039,Apply for a trade mark,https://www.ipaustralia.gov.au/understanding-ip/get-professional-assistance-with-your-ip,getting professional assistance with your IP,No,Null
D1039,Apply for a trade mark,https://ipta.org.au/community/get-free-consultation/,30 minute consultations with an attorney,No,Null
E1009,Selling or licensing,"https://www.ipaustralia.gov.au/manage-my-ip/how-to-commercialise-my-ip#:~:text=This%20means%20giving%20permission%20for, your%20product%20or%20service%20yourself.",How to commercialise my IP | IP Australia,No,Null
E1009,Selling or licensing,https://ipfirstresponse.ipaustralia.gov.au/options/agree-formal-commercial-arrangement,Agree to a formal commercial arrangement | IP Australia First Response,Yes,Null
E1009,Selling or licensing,https://ipfirstresponse.ipaustralia.gov.au/options/obtain-legal-advice-enforcement-options,Obtain legal advice on enforcement options | IP Australia First Response,Yes,Null
D1030,Interim court injuction order,https://www.ipaustralia.gov.au/manage-my-ip/someone-is-using-my-ip/what-to-consider-before-taking-legal-action,What To Consider Before Taking Legal Action | IP Australia,No,Null
D1030,Interim court injuction order,https://www.ipaustralia.gov.au/manage-my-ip/someone-is-using-my-ip/escalate-to-court,Escalate To Court | IP Australia,No,Null
D1030,Interim court injuction order,https://www.ipaustralia.gov.au/understanding-ip/get-professional-assistance-with-your-ip,getting professional assistance with your IP,No,Null
D1030,Interim court injuction order,https://ipta.org.au/community/get-free-consultation/,30 minute consultations with an attorney,No,Null
E1016,IP Disputes ,https://www.ipaustralia.gov.au/manage-my-ip/someone-is-using-my-ip/how-to-challenge-someone-elses-ip/opposition-and-objection-fees#fx-tabs-0-panel-0,an administrative action at IP Australia,No,Null
E1016,IP Disputes ,https://ipfirstresponse.ipaustralia.gov.au/navigator-tool-suspected-infringement,Navigator tool,Yes,Null
E1016,IP Disputes ,https://ipfirstresponse.ipaustralia.gov.au/options/ADR,Resolve conflicts with the help of experienced facilitators   | IP Australia First Response,Yes,Null
E1016,IP Disputes ,https://ipfirstresponse.ipaustralia.gov.au/options/agree-commercial-arrangement,Agree to a commercial arrangement | IP Australia First Response,Yes,Null
E1016,IP Disputes ,https://ipfirstresponse.ipaustralia.gov.au/options/mediation,Resolve IP issues with the help of a third party | IP Australia First Response,Yes,Null
E1016,IP Disputes ,https://www.ipaustralia.gov.au/manage-my-ip/someone-is-using-my-ip,Someone is using my IP | IP Australia,No,Null
E1016,IP Disputes ,"https://www.ipaustralia.gov.au/manage-my-ip/someone-is-using-my-ip/what-to-consider-before-taking-legal-action#:~:text=Check%20if%20the%20IP%20has, to%20challenge%20their%20IP%20right.",What to consider before taking legal action | IP Australia,No,Null
E1016,IP Disputes ,https://www.ttipattorney.gov.au/for-clients/how-to-engage-an-attorney/find-an-ip-attorney-or-firm,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board,No,Null
E1016,IP Disputes ,https://resolution.institute/Web/Shared_Content/Profiles/Member-Directory/Member-Directory.aspx,Member Directory - Australia,No,Null
E1016,IP Disputes ,https://www.asbfeo.gov.au/,Welcome | ASBFEO,No,Null
B1013,Court,https://www.fcfcoa.gov.au/gfl/gfl-fees,Federal Court and Family Court of Australia | Fees,No,Null
B1013,Court,https://www.fedcourt.gov.au/forms-and-fees/court-fees,Federal Court of Australia | Fees,No,Null
B1013,Court,https://ipta.org.au/community/find-an-attorney/,See an IP Professional,No,Null
C1010,e-commerce registeries ,https://www.ebay.com/help/policies/listing-policies/selling-policies/intellectual-property-vero-program?id=4349,"trade marks, copyrights, designs and patents.",No,Null
C1010,e-commerce registeries ,https://www.etsy.com/au/ipreporting,Etsy Intellectual Property Portal,No,Null
C1010,e-commerce registeries ,https://www.sheingroup.com/our-business/operating-responsibly/#product-safety,all types of IP infringement,No,Null
